,Intestine
RC00573_I,0.01
RC00575_I,0.01
RC00578_I,0.01
RC00582_I,4.650666789
RC00585_I,0.01
RC00602_I,0.01
RC00619_I,0
RC00631_I,0.015110913
RC00650_I,0.01
RC00658_I,1.20E+01
RC00662_I,0
RC00669_I,0.050524266
RC00670_I,0.014051973
RC00678_I,0
RC00685_I,0
RC00694_I,0.493340688
RC00698_I,0.01
RC00699_I,0
RC00703_I,0
RC00710_I,0.01
RC00711_I,3.972283248
RC00720_I,0.00E+00
RC00722_I,0.01
RC00731_I,0
RC00734_I,3.52E-01
RC00736_I,0
RC00748_I,0.92156813
RC00751_I,0.695347419
RC00754_I,-0.01
RC00765_I,0.19611871
RC00768_I,0
RC00782_I,0.01
RC00801_I,0.002136296
RC00842_I,0
RC00847_I,0.636222906
RC00851_I,0.829483382
RC00867_I,0.01
RC00875_I,0.013910677
RC00885_I,0.685403083
RC00888_I,0.014410618
RC00893_I,1.103721427
RC00894_I,0.01
RC00895_I,0.025946027
RC00897_I,0.022558914
RC00899_I,0.01
RC00905_I,0
RC00936_I,4.580829396
RC00939_I,-4.271254324
RC00941_I,0.01
RC00943_I,-4.666396458
RC00945_I,4.804750733
RC00946_I,0.01
RC00955_I,0
RC00959_I,1.223224235
RC00961_I,-0.01
RC00963_I,0.01
RC00964_I,0.00E+00
RC00965_I,0.01
RC00966_I,0
RC00978_I,-0.01
RC00987_I,0
RC00988_I,0.00E+00
RC00996_I,0
RC01000_I,0
RC01001_I,0.160576143
RC01005_I,0.223664155
RC01009_I,0.298218873
RC01010_I,0.01
RC01011_I,1.00E-02
RC01013_I,0.232469997
RC01015_I,-6.857934512
RC01016_I,0
RC01018_I,0
RC01021_I,0.503328659
RC01023_I,0
RC01026_I,0
RC01030_I,0.027213947
RC01036_I,0.029427596
RC01041_I,-0.01
RC01049_I,-0.013818312
RC01051_I,0.003218185
RC01054_I,0
RC01055_I,-8.62E-01
RC01056_I,3.287081665
RC01057_I,3.936946169
RC01061_I,16.55919823
RC01066_I,2.324034289
RC01070_I,3.902824707
RC01072_I,0.01
RC01082_I,0.01
RC01083_I,0.01
RC01092_I,0
RC01093_I,0.01
RC01095_I,-0.02111522
RC01100_I,1.41E-03
RC01101_I,0
RC01103_I,2.66E-03
RC01108_I,0.00E+00
RC01121_I,0.106256365
RC01123_I,0.014771285
RC01126_I,0.01
RC01127_I,-0.01
RC01130_I,0.03
RC01132_I,0
RC01134_I,0.01
RC01135_I,0.01
RC01137_I,8.57E-03
RC01138_I,0.01
RC01154_I,0.01
RC01167_I,0
RC01168_I,0
RC01184_I,0
RC01185_I,0.01
RC01186_I,0
RC01187_I,0.047527731
RC01201_I,0
RC01206_I,0.01
RC01218_I,0
RC01220_I,4.696396458
RC01224_I,-0.01
RC01227_I,2.253676045
RC01229_I,0.01
RC01230_I,0.01
RC01231_I,0.01
RC01234_I,1.00E-02
RC01252_I,0.557324738
RC01262_I,0.010736643
RC01266_I,-0.617491045
RC01268_I,0
RC01269_I,0
RC01274_I,0
RC01280_I,2.191946425
RC01281_I,0.052992815
RC01290_I,0.160576143
RC01301_I,0.01
RC01310_I,0.01
RC01315_I,0.01
RC01318_I,0.808015218
RC01321_I,0.522887494
RC01326_I,0.401655334
RC01334_I,0.003157677
RC01351_I,0.110058561
RC01357_I,0.307599533
RC01364_I,0.01
RC01372_I,1.00E-02
RC01375_I,0.00E+00
RC01378_I,0.00E+00
RC01384_I,0
RC01393_I,0.01
RC01397_I,0.02
RC01402_I,0
RC01410_I,0
RC01415_I,-0.01
RC01431_I,0.01
RC01463_I,0.003746593
RC01468_I,0.01
RC01470_I,1.249500429
RC01481_I,0.01
RC01483_I,-0.010001
RC01494_I,0.01
RC01495_I,0.015107913
RC01496_I,0.031046456
RC01497_I,0.025950546
RC01498_I,0.01
RC01500_I,0.00E+00
RC01512_I,-16.55919823
RC01513_I,4.617374197
RC01514_I,0
RC01518_I,-11.96760215
RC01528_I,0.184598524
RC01529_I,3.47168019
RC01547_I,0.018571429
RC01560_I,1.567408519
RC01561_I,0.021856302
RC01567_I,0
RC01569_I,0.286178681
RC01570_I,0
RC01595_I,0.021729451
RC01600_I,0.184598524
RC01602_I,0
RC01616_I,0.01
RC01639_I,0.012724527
RC01641_I,-1.742202358
RC01655_I,4.676396458
RC01658_I,0.014771285
RC01663_I,0
RC01664_I,3.03E-01
RC01665_I,1.00E-02
RC01681_I,0
RC01682_I,0
RC01687_I,0.01
RC01704_I,0.01
RC01710_I,0
RC01711_I,0
RC01724_I,-0.069502573
RC01737_I,0
RC01752_I,0.00E+00
RC01758_I,0.010001
RC01759_I,-0.01
RC01768_I,1.959314054
RC01769_I,0.01
RC01786_I,0.961772111
RC01787_I,5.34E-02
RC01793_I,0
RC01794_I,0
RC01795_I,0
RC01799_I,0.086196577
RC01801_I,0.015188433
RC01802_I,0.05550259
RC01814_I,0
RC01815_I,0.00E+00
RC01816_I,0.00E+00
RC01818_I,-0.685403083
RC01819_I,-0.283747749
RC01827_I,0.01
RC01829_I,1.732202358
RC01830_I,-1.742202358
RC01843_I,1.732202358
RC01844_I,0
RC01855_I,0
RC01857_I,0.01
RC01863_I,1.592990661
RC01870_I,-0.015684262
RC01876_I,0
RC01878_I,1.226858369
RC01890_I,0.542467824
RC01896_I,1.27E-02
RC01903_I,1.00E-06
RC01904_I,0.010001
RC01905_I,0.01
RC01909_I,0
RC01920_I,0.01
RC01923_I,0.01
RC01926_I,0.01
RC01931_I,-0.01
RC01938_I,0
RC01951_I,0.002943197
RC01956_I,0.00E+00
RC01959_I,0
RC01960_I,0
RC01961_I,0.195153703
RC01968_I,0.313379912
RC01969_I,0.323749662
RC01975_I,0.01
RC01978_I,0.01
RC01987_I,0.01
RC01993_I,-0.029999
RC01998_I,-0.232469997
RC02003_I,0.014771285
RC02016_I,1.277747223
RC02017_I,0
RC02018_I,1.277747223
RC02019_I,0.00E+00
RC02024_I,0
RC02029_I,0.015188433
RC02030_I,0.015505554
RC02035_I,1.85E-01
RC02037_I,0.01
RC02038_I,-0.908555108
RC02051_I,-1.459648843
RC02053_I,0.02
RC02055_I,0.01
RC02057_I,-1.111444775
RC02058_I,0
RC02059_I,0
RC02061_I,0.001942511
RC02078_I,0
RC02080_I,0
RC02082_I,0.106256365
RC02088_I,0.295896474
RC02090_I,0.01
RC02093_I,0.028289222
RC02094_I,0.028289222
RC02098_I,-1.277747223
RC02099_I,0
RC02100_I,0
RC02101_I,0
RC02102_I,1.277747223
RC02103_I,2.045925431
RC02107_I,0.01
RC02110_I,0.01
RC02124_I,-0.01
RC02142_I,0.00E+00
RC02147_I,2.22E+00
RC02173_I,0.02
RC02186_I,0.074554718
RC02222_I,1.686657513
RC02235_I,0.309575072
RC02236_I,0
RC02239_I,0.01
RC02240_I,0.716362038
RC02241_I,0.829483382
RC02245_I,0.106256365
RC02250_I,0.01
RC02251_I,0.202751262
RC02265_I,0.01
RC02266_I,0.00E+00
RC02269_I,0
RC02286_I,0
RC02288_I,0
RC02294_I,1.00E-02
RC02295_I,-1.00E-02
RC02297_I,0.086611377
RC02323_I,0.01
RC02326_I,0.01
RC02331_I,0
RC02335_I,0.386384155
RC02364_I,0
RC02367_I,-0.038663201
RC02382_I,0
RC02383_I,0
RC02389_I,0.000829211
RC02396_I,0.01
RC02397_I,0.01
RC02464_I,0.01
RC02466_I,0
RC02478_I,0
RC02484_I,1.630359185
RC02485_I,0.311141906
RC02493_I,0
RC02497_I,0
RC02519_I,0.01
RC02521_I,0.01
RC02529_I,0
RC02531_I,0.01
RC02541_I,0.01
RC02543_I,0.217156847
RC02556_I,0.328622556
RC02557_I,-0.01
RC02577_I,0.01
RC02619_I,1.083721427
RC02640_I,0.01
RC02665_I,0
RC02668_I,0
RC02670_I,0.01
RC02678_I,0.01
RC02687_I,0.01
RC02695_I,-0.01
RC02697_I,0.01
RC02701_I,0
RC02719_I,1.00E-02
RC02731_I,0.01
RC02732_I,1.00E-02
RC02736_I,1.85E-01
RC02737_I,0.011232975
RC02739_I,0.01
RC02740_I,2.11623564
RC02743_I,0
RC02746_I,0.01
RC02748_I,0.376323392
RC02749_I,2.32043224
RC02750_I,0.00360205
RC02757_I,0.01
RC02778_I,0.011232975
RC02869_I,0.01
RC02902_I,0.001613535
RC02908_I,0
RC02914_I,0
RC02918_I,0.976655907
RC02957_I,-0.010001
RC02976_I,0.01
RC02978_I,0.052992815
RC03004_I,0
RC03005_I,0.014335119
RC03018_I,0.002313943
RC03020_I,0.862201548
RC03038_I,4.472749183
RC03055_I,0
RC03057_I,0.01
RC03058_I,0.01
RC03104_I,0.00E+00
RC03105_I,0.015946027
RC03106_I,0.01
RC03161_I,0.002943197
RC03181_I,0.01
RC03219_I,0
RC03245_I,0.106256365
RC03269_I,0.002313943
RC03283_I,0.01
RC03284_I,0.01
RC03300_I,0.01
RC03302_I,-0.01
RC03315_I,8.62E-01
RC03321_I,0.01
RC03332_I,0.01
RC03336_I,1.00E-02
RC03346_I,0.01
RC03348_I,0.01
RC03361_I,0.01
RC03362_I,0.01
RC03363_I,1.00E-02
RC03376_I,0
RC03393_I,0.00E+00
RC03394_I,0
RC03416_I,0.01
RC03421_I,0.617491045
RC03430_I,0.01
RC03433_I,0.01
RC03435_I,0.02
RC03445_I,0
RC03454_I,0
RC03455_I,0
RC03469_I,0.01
RC03482_I,0.01
RC03542_I,0.00E+00
RC03552_I,-4.075352792
RC03595_I,0
RC03596_I,0.01
RC03599_I,0
RC03601_I,-0.02
RC03617_I,0
RC03618_I,-0.01
RC03634_I,0.002660505
RC03646_I,1.484739757
RC03648_I,0.901590502
RC03650_I,0.007285863
RC03652_I,0.917178045
RC03654_I,2.616290306
RC03655_I,0.627950306
RC03656_I,1.826474749
RC03657_I,2.797596202
RC03658_I,2.770134103
RC03659_I,0.426678344
RC03660_I,1.280070061
RC03661_I,1.581347497
RC03662_I,1.796385536
RC03663_I,1.832149315
RC03664_I,0.254269609
RC03665_I,2.490188834
RC03681_I,0.01
RC03718_I,0.001249531
RC03719_I,0.003748593
RC03720_I,0.001249531
RC03749_I,0.010736643
RC03755_I,0.182751262
RC03778_I,0.01
RC03814_I,1.368985349
RC03858_I,0.01
RC03866_I,0.01
RC03875_I,0.01
RC03889_I,0
RC03936_I,0
RC03954_I,0
RC03956_I,0.00E+00
RC03970_I,1.00E-02
RC03991_I,0.01
RC04025_I,0.01
RC04073_I,0
RC04144_I,0.01
RC04162_I,0.232469997
RC04171_I,0.00E+00
RC04173_I,4.617374197
RC04176_I,0.01
RC04183_I,0.00E+00
RC04184_I,1.00E-02
RC04208_I,0.01
RC04209_I,0.01
RC04230_I,0.002313943
RC04231_I,0
RC04262_I,0.003746593
RC04286_I,1.51E-02
RC04293_I,0
RC04300_I,0
RC04311_I,0.232469997
RC04313_I,0.01
RC04321_I,0
RC04323_I,0
RC04325_I,-0.01
RC04326_I,2.00E-02
RC04360_I,2.32E-01
RC04361_I,2.32E-01
RC04404_I,1.00E-02
RC04420_I,0
RC04452_I,1.00E-06
RC04463_I,0.01
RC04480_I,0.01
RC04496_I,0.000647504
RC04513_I,0.01
RC04545_I,0.01
RC04559_I,0.01
RC04560_I,0.01
RC04571_I,0.105308033
RC04591_I,1.00E-02
RC04620_I,0
RC04666_I,1.80E-03
RC04674_I,0.003828943
RC04734_I,0
RC04742_I,0.01
RC04770_I,-0.01
RC04779_I,3.810808959
RC04780_I,0.01
RC04807_I,0.002741505
RC04823_I,2.74E-03
RC04824_I,2.74E-03
RC04826_I,0.002741505
RC04866_I,0.01
RC04867_I,0.01
RC04886_I,0
RC04903_I,0
RC04928_I,0.00E+00
RC04929_I,0
RC04940_I,0.00E+00
RC04996_I,0.003828943
RC05050_I,0.01
RC05052_I,0.01
RC05556_I,0
RC05577_I,2.97E+00
RC05578_I,3.00E+00
RC05623_I,0.008136443
RC05692_I,0.014410618
RC05795_I,0.01
RC05802_I,0.02
RC05803_I,0.02
RC05861_I,0.005422887
RC05916_I,0.01
RC05969_I,0.074554718
RC05970_I,0.074554718
RC05972_I,0.074554718
RC05973_I,0.074554718
RC05976_I,0.074554718
RC05979_I,0.074554718
RC05980_I,0.074554718
RC05981_I,0.074554718
RC05982_I,0.074554718
RC05983_I,6.20E-02
RC05985_I,0.01
RC05988_I,0.01
RC05989_I,0.004712214
RC06099_I,-0.010410872
RC06171_I,-0.01
RC06238_I,0.074554718
RC06258_I,0.074554718
RC06259_I,0.074554718
RC06260_I,0.074554718
RC06261_I,0.074554718
RC06262_I,0.074554718
RC06263_I,0.074554718
RC06264_I,0.074554718
RC06364_I,0.212889667
RC06517_I,0.077816759
RC06518_I,0
RC06519_I,0.01
RC06520_I,0.034662233
RC06521_I,0.01
RC06522_I,0.01
RC06982_I,0
RC06983_I,-0.01
RC07034_I,0.01
RC07041_I,0.01
RC07050_I,0.01
RC07109_I,0.01
RC07140_I,0.01
RC07168_I,0.119421545
RC07172_I,0
RC07209_I,0
RC07211_I,0
RC07212_I,0
RC07213_I,0
RC07218_I,1.25E-03
RC07296_I,0.001249531
RC07299_I,1.00E-02
RC07324_I,0.047527731
RC07372_I,0
RC07377_I,0.035938295
RC07379_I,0.01
RC07380_I,0.01
RC07384_I,0.01
RC07385_I,0.01
RC07387_I,0.01
RC07389_I,0.01958033
RC07392_I,0
RC07396_I,0.00E+00
RC07641_I,1.00E-02
RC07758_I,2.084109038
RC07759_I,2.084109038
RC07760_I,2.08E+00
RC07761_I,2.084109038
RC07933_I,0.01
RC08174_I,0.01
RC08177_I,0.01
RC08183_I,0.014426831
RC08193_I,0
RC08198_I,-0.01
RC08218_I,0
RC08223_I,0
RC08224_I,0
RC08379_I,0.01
RC08381_I,-0.038663201
RC08383_I,0.00886702
RC08388_I,-0.038663201
RC08505_I,0.00E+00
RC08539_I,-0.01
RC08707_I,-6.17E-01
RC08723_I,0.00E+00
RC08724_I,0
RC08725_I,0
RC08733_I,0.003748593
RC08734_I,0.003748593
RC08735_I,0.003748593
RC08759_I,0.002741505
RC08761_I,0.002741505
RC08766_I,0.01
RC08767_I,0.01
RC08969_I,0.087804756
RC08981_I,0
RC09035_I,-0.010990072
RC09036_I,-0.01
RC09085_I,0
RC09086_I,0
RC09319_I,0.007353815
RC09371_I,0.01
RC09394_I,0
RC09510_I,0.01
RC09511_I,0.01
RC09752_I,-4.36E+01
RC09844_I,0.001942511
RC09845_I,0.001295007
RC10059_I,0.00E+00
RC10065_I,0.01
RC10092_I,5.725318767
RC10306_I,0
RC10633_I,-4.075352792
RC10928_I,1.00E-02
RC10951_I,0.01
RC12124_I,0.01
RCC0001_I,0.01
RCC0005_I,10
RCC0009_I,1.083721427
RCC0010_I,0
RCC0018_I,0
RCC0019_I,5.56E+00
RCC0020_I,0.00E+00
RCC0021_I,1.00E-02
RCC0022_I,1.00E-02
RCC0029_I,0.00E+00
RCC0030_I,0
RCC0031_I,0
RCC0032_I,0.001942511
RCC0033_I,0.001295007
RCC0034_I,0.000647504
RCC0037_I,0.074554718
RCC0038_I,0.061997454
RCC0039_I,0.041438007
RCC0040_I,0.01448541
RCC0041_I,0.017112792
RCC0042_I,0.007353815
RCC0043_I,1.00E-02
RCC0044_I,0.873386204
RCC0045_I,0.873386204
RCC0046_I,0.698708963
RCC0050_I,3.75E-03
RCC0051_I,1.00E-02
RCC0053_I,0.00E+00
RCC0055_I,9.72E-02
RCC0056_I,0.721630583
RCC0058_I,0.09716472
RCC0060_I,0.067816759
RCC0061_I,1.573351926
RCC0062_I,0.01
RCC0063_I,0.01
RCC0064_I,1.368985349
RCC0065_I,0.124112281
RCC0066_I,1.008563228
RCC0067_I,0.703622639
RCC0068_I,1.00E-02
RCC0069_I,1.00E-02
RCC0070_I,0.104220846
RCC0071_I,0.306686069
RCC0072_I,0.306686069
RCC0073_I,0.20459407
