Row,PFD
BIO0001_I,0.486288412787243
BIO0002_I,1.69966745055153
BIO0003_I,0.0796624125826807
BIO0004_I,0.00687155398151975
BIO0005_I,0.796759944143332
BIO0006_I,-0.192010873557933
BIO0007_I,0.0598080409521344
BIO0008_I,0.0547818464541333
BIO0009_I,0.024745464393814
BIO0010_I,0.360262963386087
BIO0011_I,-0.274753456427902
BIO0012_I,-0.00925001713824258
BIO0013_I,0.403004980640731
BIO0014_I,0.0306733662720262
BIO0015_I,3.60262963386087e-05
BIO0100_I,0
BIO0101_I,0.00104115453461867
BIO0102_I,0
BIO0103_I,0.359221367258052
BIO0104_I,0
BIO0105_I,4.41593416600019e-07
BIO0106_I,0
BIO0107_I,0
DGR0001_I,10.5183271833296
DGR0002_I,0.866379755693613
DGR0003_I,0.3545691122673
DGR0004_I,0.964581526671549
DGR0005_L,0.459317099947691
DGR0006_L,3.55475574983508
DGR0007_L,3.55475574983508
DGR0008_L,10.5183271833296
DGR0009_L,0.866379755693613
DGR0010_L,0.3545691122673
DGR0011_L,0.0801792095526555
DGR0012_I,0.0801792095526555
DGR0013_L,0.0296146701518761
DGR0014_L,0.0215539189231114
DGR0015_L,0.0296146701518761
DGR0016_I,0.0215539189231114
DGR0017_I,0.0296146701518761
DGR0018_L,0.344508953547366
DGR0019_I,0.344508953547366
DGR0020_L,0.0825810807166952
DGR0021_I,0.105554744104779
DGR0022_L,0.0229736633880836
DGR0023_I,0.0229736633880836
DGR0024_I,0.0229736633880836
DGR0025_L,0.00925340229554618
DGR0026_I,0.00925340229554618
DGR0027_L,0.482721611804605
DGR0028_I,0.482721611804605
DGR0029_E,0
DGR0029_L,0.00320994444210108
DMN0001_I,0
DMN0002_I,0
DMN0005_I,0
DMN0006_I,0.000886263049665104
DMN0007_I,0
DMN0008_I,0.00902594563912509
DMN0009_I,0.00999999999999091
DMN0015_I,0
DMN0017_I,0
DMN0018_I,0
DMN0020_I,0
DMN0021_I,0
DMN0022_I,0
DMN0023_I,0.00515823700925733
DMN0024_I,0.00614566271588536
DMN0025_I,0
DMN0026_I,0
DMN0027_I,0.00886702019931818
DMN0030_I,0
DMN0031_I,0.067160949424625
DMN0032_I,0
DMN0033_I,0
DMN0034_I,0
DMN0035_I,0.01
DMN0038_I,0
DMN0039_I,0
DMN0040_I,0
DMN0041_I,0
DMN0042_I,0.00999999999999091
DMN0043_I,0
DMN0044_I,0.00231215698401449
